US_L3NAME,n,mean_obs,mean_pred,mean_resid,rmse
North Central Appalachians,50,8863.2673810061,8710.44795601532,152.819424990774,449.101176655651
Mississippi Valley Loess Plains,501,6426.55361358634,6348.34298703492,78.2106265514253,1006.9568153938
Southern Michigan/Northern Indiana Drift Plains,72,6926.35161784423,6850.82209861264,75.5295192315871,590.006986051513
Canadian Rockies,287,4624.25469271752,4554.43519516047,69.8194975570581,709.606315016096
East Central Texas Plains,160,7551.02021433588,7490.21132488619,60.8088894496862,409.740141513818
Wasatch and Uinta Mountains,398,3861.1043123609,3806.91750336915,54.1868089917569,614.139711940837
Eastern Cascades Slopes and Foothills,760,4555.91720866018,4511.76571269854,44.1514959616339,608.501555403456
Northeastern Highlands,242,8612.83956669531,8573.47469986789,39.3648668274259,550.000261135527
Southern Rockies,2440,4537.75236759908,4500.98606693795,36.7663006611302,637.269132154337
Southern Coastal Plain,834,9587.42943859683,9551.72267282208,35.7067657747463,1365.6913792733
Blue Ridge,358,8170.24360231204,8139.86653375457,30.3770685574671,280.457489764836
Northern Lakes and Forests,934,6735.02791488219,6709.15842250713,25.8694923750631,462.068271156855
Ridge and Valley,1711,8719.8368003742,8699.34115427391,20.4956461002881,410.55577780284
Boston Mountains,668,6897.39016464175,6877.76314680493,19.6270178368206,304.03358695813
Ouachita Mountains,1547,6696.89072228509,6683.64691100939,13.2438112757019,420.996840154865
Driftless Area,193,5900.31689927149,5889.2033503685,11.1135489029855,304.952022245708
Central Great Plains,50,4349.35599408149,4339.80865646543,9.54733761605954,292.5888156073
Cascades,620,4816.04407233712,4806.71881001041,9.32526232671439,542.4729711754
Central Appalachians,1687,9127.33334365195,9119.3741426143,7.95920103765176,386.016200863005
Southeastern Plains,9636,7063.25181108467,7055.59657468718,7.65523639749461,575.843458384379
Cross Timbers,74,5269.90826085772,5267.15590378219,2.75235707553754,123.760995213291
Central Irregular Plains,141,5918.0567871542,5915.47081527004,2.58597188415939,283.854160593466
Northern Allegheny Plateau,621,7966.9602422646,7967.53584362207,-0.575601357474208,647.210394631181
Middle Rockies,2152,4032.17317695838,4033.50069710969,-1.32752015131686,626.284024228542
Middle Atlantic Coastal Plain,7743,7721.28227857083,7723.0649205886,-1.78264201777469,257.971587236836
South Central Plains,4541,7262.36139710714,7264.80052473051,-2.43912762336693,567.47546384806
Arkansas Valley,439,6212.79242767693,6215.70236213137,-2.90993445443879,416.22158504291
Southwestern Appalachians,154,6812.81344374542,6815.89023591326,-3.07679216783368,569.967975899345
Piedmont,8045,6778.16908692464,6781.32583404988,-3.15674712524396,264.255400710862
Northern Minnesota Wetlands,175,6021.02951753357,6024.62365445483,-3.59413692125706,192.6145180882
Blue Mountains,847,4556.4971132193,4560.9428289885,-4.44571576919161,610.667808037225
Arizona/New Mexico Mountains,1109,4800.14022088361,4807.37421417169,-7.23399328807981,512.486736540077
Northern Rockies,948,5296.01560764823,5304.50495084973,-8.48934320149572,403.212292358408
Western Allegheny Plateau,1689,7955.14240959005,7964.10820000716,-8.96579041711217,422.715089378707
Ozark Highlands,733,6756.85886722883,6766.82720561033,-9.96833838150592,343.175937557409
Sierra Nevada,923,3968.27857801693,3983.40359301926,-15.1250150023336,488.670899954551
Idaho Batholith,898,4362.56579244815,4381.2288414678,-18.6630490196511,661.250704166847
Klamath Mountains/California High North Coast Range,147,4558.96022784648,4578.20025690996,-19.2400290634823,385.37278136915
Northern Piedmont,222,7056.07177867348,7084.4839674755,-28.4121888020136,373.235942093602
North Central Hardwood Forests,299,6199.38475525566,6246.2607306085,-46.875975352838,473.643694586413
Western Corn Belt Plains,166,5482.34740683255,5533.71471220803,-51.3673053754877,307.884331872225
Erie Drift Plain,173,6761.03492798403,6819.92127592288,-58.8863479388475,377.834368680301
North Cascades,306,5072.09489400977,5132.89162082132,-60.7967268115475,740.427524809919
Eastern Great Lakes Lowlands,286,7521.62927242231,7584.85129524708,-63.2220228247648,628.560720065016
Western Gulf Coastal Plain,106,8067.62042816321,8141.74876726435,-74.1283391011434,571.776810342237
Northwestern Great Plains,334,3131.71636404307,3225.43195892953,-93.7155948864559,408.818880371487
Colorado Plateaus,118,3229.85738847069,3361.44406210755,-131.586673636855,621.781213963598
Northern Basin and Range,139,2520.9769904867,2729.18505806285,-208.208067576145,491.253119785388
Central Basin and Range,52,2683.40531977499,3021.10318491163,-337.697865136642,656.013576765596
Wyoming Basin,51,2948.62663574881,3341.4519988467,-392.82536309789,740.957568862377
Mississippi Alluvial Plain,178,5096.32581246947,5567.16498457726,-470.839172107794,1033.8989526952
