eco_L3_id,eco_L3_name,n,w_esi,w_bgi,w_asym,var_pc1
8.5.3,8.5.3,1465,0.155,0.297,2.548,0.6
9.5.1,9.5.1,278,1.118,-0.639,1.243,0.493
8.3.8,8.3.8,529,-0.55,1.474,0.976,0.53
8.5.2,8.5.2,391,2.849,-0.019,-0.132,0.715
8.3.5,8.3.5,13588,0.448,0.458,2.094,0.46
8.3.7,8.3.7,14603,0.932,0.594,1.474,0.446
8.3.6,8.3.6,1085,2.677,0.171,-0.152,0.76
8.5.1,8.5.1,8463,2.793,0.091,-0.116,0.717
8.3.4,8.3.4,10150,0.012,-0.224,2.764,0.608
13.1.1,13.1.1,4245,2.56,0.23,0.211,0.794
8.4.1,8.4.1,4118,-0.347,-0.272,2.381,0.753
8.4.9,8.4.9,313,2.364,-0.017,-0.619,0.626
11.1.3,11.1.3,107,1.548,-0.316,-1.136,0.552
8.4.8,8.4.8,1920,1.274,0.782,-0.945,0.475
8.4.7,8.4.7,718,2.2,0.359,0.442,0.448
10.1.7,10.1.7,282,2.812,0.107,0.081,0.936
8.4.6,8.4.6,890,-0.457,0.396,2.147,0.544
8.4.4,8.4.4,1499,1.674,0.045,1.281,0.573
6.2.14,6.2.14,9917,2.673,0.132,-0.195,0.846
9.2.4,9.2.4,214,2.577,-0.191,-0.231,0.522
6.2.12,6.2.12,1995,-1.268,-0.195,1.537,0.662
8.4.5,8.4.5,1206,-0.139,-0.049,2.812,0.85
10.1.6,10.1.6,607,2.755,0.075,0.17,0.905
10.1.5,10.1.5,191,2.553,0.248,0.198,0.83
8.4.2,8.4.2,2365,-1.037,-0.04,1.923,0.595
6.2.13,6.2.13,2961,2.712,0.13,-0.158,0.855
8.3.1,8.3.1,771,1.866,-0.047,-1.087,0.589
8.4.3,8.4.3,2626,2.8,0.016,-0.184,0.536
9.2.3,9.2.3,285,1.435,1.248,0.317,0.504
8.1.10,8.1.10,286,2.855,-0.116,-0.029,0.684
6.2.8,6.2.8,1728,2.674,0.26,-0.066,0.763
10.1.3,10.1.3,347,2.415,0.224,0.361,0.914
6.2.11,6.2.11,338,2.38,0.131,-0.489,0.677
10.1.4,10.1.4,252,2.794,0.06,-0.146,0.909
8.1.6,8.1.6,105,2.755,-0.056,0.189,0.884
6.2.7,6.2.7,679,1.751,0.603,-0.646,0.616
5.3.1,5.3.1,368,1.108,1.48,0.413,0.561
8.1.3,8.1.3,978,2.425,-0.071,-0.504,0.646
6.2.10,6.2.10,6591,2.541,0.06,-0.399,0.847
8.1.5,8.1.5,338,2.718,0.098,-0.184,0.75
9.3.3,9.3.3,1173,2.696,-0.11,-0.194,0.872
8.1.1,8.1.1,360,2.524,0.088,-0.388,0.747
6.2.15,6.2.15,3299,2.464,0.316,-0.22,0.842
8.1.4,8.1.4,501,0.019,1.472,1.509,0.645
6.2.9,6.2.9,1353,2.552,0.323,-0.125,0.886
5.2.1,5.2.1,1867,1.98,0.451,0.569,0.59
6.2.3,6.2.3,2971,2.537,0.298,-0.164,0.67
6.2.4,6.2.4,1099,2.469,0.055,-0.476,0.889
6.2.5,6.2.5,466,1.506,-0.232,-1.262,0.506
5.2.2,5.2.2,360,2.175,0.507,-0.318,0.87
