gid,n,w_esi,w_bgi,w_asym
10.1,1836,2.8107184990877,0.180971108902635,0.00831039200966674
11.1,134,2.28277472203371,0.217114500519425,-0.500110777446868
12.1,94,2.43607561063622,0.408499111179569,-0.155425278184209
13.1,4231,2.55481663451078,0.231488310482041,0.213695055007183
5.2,2219,2.16539084686771,0.489567838130405,0.345041315001888
5.3,441,0.720286811913006,1.84918379278569,0.430529395301305
6.2,33352,2.28739634327071,0.373945264097194,-0.3386583926321
7.1,86,1.78959988666805,0.644666857187076,-0.565733256144879
8.1,2581,-0.196125160566086,1.22452507112964,1.57934976830427
8.2,117,-0.607244790473524,0.809478452029116,1.58327675749736
8.3,40840,-0.115922004529364,0.253443186344955,2.63063480912568
8.4,15712,0.142808375203222,0.332312897938178,2.5248787268586
8.5,9877,2.75624808711462,-0.0178433619954427,-0.225908550889932
9.2,516,0.817186251036338,1.52578016598103,0.657033582982632
9.3,1283,2.40007739556041,-0.223938421587468,-0.375984182852122
9.4,341,-1.18498789782913,0.475405284015418,1.33960681815545
9.5,269,1.14030627861994,-0.634862450433588,1.22483127094647
