L1,agbd_obs,ch_m,cms_agb16,cms_agbchg,gpp_obs,npp_obs,n
EASTERN TEMPERATE FORESTS,-0.27,0,-1.39,1.11,-3.01,0.89,234470
NORTHWESTERN FORESTED MOUNTAINS,-0.11,0.04,-10.83,7.51,1.27,9.68,61327
NORTHERN FORESTS,0.79,0.06,2.28,3.55,25.04,29.05,7969
TEMPERATE SIERRAS,0.16,-0.07,-3.32,6.2,12.51,-7.23,6490
GREAT PLAINS,-6.29,-0.29,-60.72,27.08,-259.84,-60.65,5214
NORTH AMERICAN DESERTS,-7.29,-1.51,-75.29,39.06,-469.22,-247.43,2438
MARINE WEST COAST FOREST,7.03,1.12,-137.52,185.72,509.58,372.1,309
MEDITERRANEAN CALIFORNIA,-7.8,1.16,-79.45,23.94,-366.6,-81.03,259
SOUTHERN SEMI-ARID HIGHLANDS,12.1,2.64,25.01,83.39,-458.83,-307.41,126
TROPICAL WET FORESTS,0.42,-0.26,69.18,19.55,-9.92,-434.56,109
